"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IZ5PJTG4","book","2018","Noble, Alan","Disruptive Witness: Speaking Truth in a Distracted Age","","978-0-8308-8109-3","","","","These two trends define life in Western society today. We are increasingly addicted to habits--and devices--that distract and ""buffer"" us from substantive reflection and deep engagement with the world. And we live in what Canadian philosopher Charles Taylor calls ""a secular age""--an age in which all beliefs are equally viable and real transcendence is less and less plausible. Drawing on Taylor's work, Alan Noble describes how these realities shape our thinking and affect our daily lives. Too often Christians have acquiesced to these trends, and the result has been a church that struggles to disrupt the ingrained patterns of people's lives. But the gospel of Jesus is inherently disruptive: like a plow, it breaks up the hardened surface to expose the fertile earth below. In this book Noble lays out individual, ecclesial, and cultural practices that disrupt our society's deep-rooted assumptions and point beyond them to the transcendent grace and beauty of Jesus. Disruptive Witness casts a new vision for the evangelical imagination, calling us away from abstraction and cliché to a more faithful embodiment of the gospel for our day.","2018-07-17","2018-12-30 21:21:08","2019-01-17 18:44:50","","","203","","","","","Disruptive Witness","","","","","InterVarsity Press","","en","","","","","Google Books","","Google-Books-ID: 7e9dDwAAQBAJ","","","https://books.google.co.uk/books?id=7e9dDwAAQBAJ","Technology","Religion / Christian Life / Social Issues; Religion / Christian Theology / Apologetics; Religion / Christian Ministry / Evangelism; Religion / Christianity / General; Social Science / Sociology of Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SETR4ZSS","book","1993","Barbour, Ian G.","Ethics in an Age of Technology","","978-0-06-060934-4","","","","""In examining the conflicting ethics and assumptions that lead to divergent views of technology, Barbour analyzes three social values: justice, participatory freedom, and economic development, and defends such environmental principles as resource sustainability, environmental protection, and respect for all forms of life. He presents case studies of agricultural technology, energy policy, and the use of computers."" ""Looking to the future, he describes the effects of global climate change, genetic engineering, and nuclear war and cautions that we must control our new powers over life and death more effectively. Finally, he concludes by focusing on appropriate technologies, individual life-styles, and sources of change: education, political action, response to crisis, and alternative visions of the good life.""--BOOK JACKET.","1993","2019-01-01 20:41:53","2019-01-17 18:44:50","","","312","","","","","","","","","","HarperSanFrancisco","","en","","","","","Google Books","","Google-Books-ID: CqdsQgAACAAJ","","","https://books.google.co.uk/books?id=CqdsQgAACAAJ","Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNE3JGF8","book","2013","Noble, David F.","The Religion of Technology: The Divinity of Man and the Spirit of Invention","","978-0-307-82853-8","","","","Arguing against the widely held belief that technology and religion are at war with each other, David F. Noble's groundbreaking book reveals the religious roots and spirit of Western technology.          It links the technological enthusiasms of the present day with the ancient and enduring Christian expectation of recovering humankind's lost divinity. Covering a period of a thousand years, Noble traces the evolution of the Western idea of technological development from the ninth century, when the useful arts became connected to the concept of redemption, up to the twentieth, when humans began to exercise God-like knowledge and powers.         Noble describes how technological advance accelerated at the very point when it was invested with spiritual significance. By examining the imaginings of monks, explorers, magi, scientists, Freemasons, and engineers, this historical account brings to light an other-worldly inspiration behind the apparently worldly endeavors by which we habitually define Western civilization. Thus we see that Isaac Newton devoted his lifetime to the interpretation of prophecy. Joseph Priestley was the discoverer of oxygen and a founder of Unitarianism. Freemasons were early advocates of industrialization and the fathers of the engineering profession. Wernher von Braun saw spaceflight as a millenarian new beginning for humankind.         The narrative moves into our own time through the technological enterprises of the last half of the twentieth century: nuclear weapons, manned space exploration, Artificial Intelligence, and genetic engineering. Here the book suggests that the convergence of technology and religion has outlived its usefulness, that though it once contributed to human well-being, it has now become a threat to our survival. Viewed at the dawn of the new millennium, the technological means upon which we have come to rely for the preservation and enlargement of our lives betray an increasing impatience with life and a disdainful disregard for mortal needs. David F. Noble thus contends that we must collectively strive to disabuse ourselves of the inherited religion of technology and begin rigorously to re-examine our enchantment with unregulated technological advance.","2013-01-23","2019-01-01 20:42:25","2019-01-17 18:44:50","","","339","","","","","The Religion of Technology","","","","","Knopf Doubleday Publishing Group","","en","","","","","Google Books","","Google-Books-ID: xKIyIiCmyYYC","","","https://books.google.co.uk/books?id=xKIyIiCmyYYC","Technology","Religion / Christianity / History; Science / Philosophy & Social Aspects; Technology & Engineering / History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43DI4YVF","book","2002","Herzfeld, Noreen L.","In Our Image: Artificial Intelligence and the Human Spirit","","978-1-4514-1518-6","","","","In Our Image brilliantly illuminates who we are as humans by demonstrating the surprisingly deep parallels between our motivations to replicate ourselves through computer technology and our emerging understanding of ourselves as relational beings created in God's image. This book is required reading for anyone--Christian or non-Christian--intrigued by the possibility of artificial intelligence.","2002","2019-01-01 20:43:23","2019-01-17 18:44:50","","","160","","","","","In Our Image","","","","","Fortress Press","","en","","","","","Google Books","","Google-Books-ID: D_9bpU_3rWEC","","","https://books.google.co.uk/books?id=D_9bpU_3rWEC","Technology","Science / Philosophy & Social Aspects; Religion / Christian Theology / General; Religion / Philosophy; Religion / Theology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAVI2TJC","book","2006","Waters, Brent","From Human to Posthuman: Christian Theology and Technology in a Postmodern World","","","","","","","2006","2019-01-01 20:45:22","2019-01-17 18:44:50","","","166","","","","","From Human to Posthuman","","","","","Ashgate Pub.","","en","","","","","Google Books","","Google-Books-ID: oKO4vQEACAAJ","","","https://books.google.co.uk/books?id=oKO4vQEACAAJ","Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GGI5RTW","book","2009","Herzfeld, Noreen","Technology and Religion: Remaining Human in a Co-created World","","978-1-59947-313-0","","","","Technology is changing all the time, but does it also have the ability to change us and the way we approach religion and spirituality? In Technology and Religion: Remaining Human in a Co-created World, Noreen Herzfeld examines this and other provocative questions as she provides an accessible and fascinating overview of the relationship between religion and the ever-broadening world of technology. In order to consider fully a topic as wide as technology, Herzfeld approaches the field from three different angles: technologies of the human body—such as genetic engineering, stem cells, cloning, pharmaceutical technologies, mechanical enhancement and cyborgs; technologies of the human mind—like human and artificial intelligence, virtual reality and cyberspace; and technologies of the external environment—such as nanotechnology, genetically modified crops and new agricultural technologies, and energy technology. She takes a similarly broad approach to the field of religion, focusing on how these issues interface with the three Abrahamic traditions of Christianity, Islam, and Judaism. Throughout, readers will find nuanced examinations of the moral and ethical issues surrounding new technologies from the perspectives of these faith traditions. The result is a multifaceted look at the ongoing dialogue between these two subjects that are not commonly associated with one another. This volume is the third title published in the new Templeton Science and Religion Series.","2009-06","2019-01-01 20:45:49","2019-01-17 18:44:50","","","177","","","","","Technology and Religion","","","","","Templeton Press","","en","","","","","Google Books","","","","","https://books.google.co.uk/books?id=IqpybPC_-IcC","Technology","Religion / General; Science / Philosophy & Social Aspects; Religion / Religion & Science; Technology & Engineering / Social Aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWMIFN5L","book","2010","Geraci, Robert M.","Apocalyptic AI: Visions of Heaven in Robotics, Artificial Intelligence, and Virtual Reality","","978-0-19-997893-9","","","","Apocalyptic AI, the hope that we might one day upload our minds into machines or cyberspace and live forever, is a surprisingly wide-spread and influential idea, affecting everything from the world view of online gamers to government research funding and philosophical thought. In Apocalyptic AI, Robert Geraci offers the first serious account of this &quot;cyber-theology&quot; and the people who promote it. Drawing on interviews with roboticists and AI researchers and with devotees of the online game Second Life, among others, Geraci illuminates the ideas of such advocates of Apocalyptic AI as Hans Moravec and Ray Kurzweil. He reveals that the rhetoric of Apocalyptic AI is strikingly similar to that of the apocalyptic traditions of Judaism and Christianity. In both systems, the believer is trapped in a dualistic universe and expects a resolution in which he or she will be translated to a transcendent new world and live forever in a glorified new body. Equally important, Geraci shows how this worldview shapes our culture. Apocalyptic AI has become a powerful force in modern culture. In this superb volume, he shines a light on this belief system, revealing what it is and how it is changing society.","2010-02-05","2019-01-01 20:46:40","2019-01-17 18:44:50","","","336","","","","","Apocalyptic AI","","","","","Oxford University Press, USA","","en","","","","","Google Books","","Google-Books-ID: 0xaV_8pZUzMC","","","https://books.google.co.uk/books?id=0xaV_8pZUzMC","Technology","Religion / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVXQK4ET","book","2010","Lewin, David","Technology and the Philosophy of Religion","","978-1-4438-2532-0","","","","The last one hundred years has seen unimaginable technological progress transforming every aspect of human life. Yet we seem unable to shake a profound unease with the direction of modern technology and its ideological siblings, global capitalism and massive consumption. Philosophers such as Marcuse, Borgmann and especially Heidegger, have developed important analyses of technological society, however in this book David Lewin argues that their ideas have remained limited either by their secular context, or by the narrow conception of religion that they do allow. This study guides the reader along the newly formed paths of the philosophy of technology, arguing that where those paths come to an abrupt end, a religious discourse is needed to articulate the ultimate concerns that drive technological action. It calls for a meditation on the central insight of many religious traditions that, in an ultimate sense, we ‘know not what we do.’ To acknowledge that we know not what we do is the first step towards a theology of technology that draws upon insights from the mystical theological tradition, as well as from recent developments in the continental philosophy of religion.","2010-09-13","2019-01-01 20:47:58","2019-01-17 18:44:50","","","265","","","","","","","","","","Cambridge Scholars Publishing","","en","","","","","Google Books","","Google-Books-ID: DYQnBwAAQBAJ","","","https://books.google.co.uk/books?id=DYQnBwAAQBAJ","Technology","Philosophy / General; Religion / Philosophy; Philosophy / Movements / Phenomenology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRH5ZKYS","book","2005","Pattison, George","Thinking about God in an Age of Technology","","978-0-19-927977-7","","","","Taking up the critique of theology found in the work of Heidegger, George Pattison argues for a model of thinking about God that would not be liable to the charge of `enframing' that Heidegger sees as characteristic of technological thinking. He constructs his case in relation to particular issues in bioethics, the place of theology in the university, the arts, and the contemporary experience of living in the city.","2005-09-22","2019-01-01 20:48:22","2019-01-17 18:44:50","","","287","","","","","","","","","","OUP Oxford","","en","","","","","Google Books","","Google-Books-ID: 9WgTDAAAQBAJ","","","https://books.google.co.uk/books?id=9WgTDAAAQBAJ","Technology","Religion / Christian Theology / General; Religion / Philosophy; Religion / Religion & Science; Language Arts & Disciplines / Linguistics / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8FDWZRQ","book","2010","Brock, Brian","Christian Ethics in a Technological Age","","978-0-8028-6517-5","","","","Through close analysis of the historical and conceptual roots of modern science and technology, Brian Brock here develops a theological ethic addressing a wide range of contemporary perplexities about the moral challenges raised by new technology.","2010-06-28","2019-01-01 20:49:03","2019-01-17 18:44:50","","","419","","","","","","","","","","Wm. B. Eerdmans Publishing","","en","","","","","Google Books","","Google-Books-ID: 2I2_i1VFoyYC","","","https://books.google.co.uk/books?id=2I2_i1VFoyYC","Technology","Religion / Christian Theology / Ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3USHGS2R","book","2011","Cole-Turner, Ronald","Transhumanism and Transcendence: Christian Hope in an Age of Technological Enhancement","","978-1-58901-794-8","","","","The timeless human desire to be more beautiful, intelligent, healthy, athletic, or young has given rise in our time to technologies of human enhancement. Athletes use drugs to increase their strength or stamina; cosmetic surgery is widely used to improve physical appearance; millions of men take drugs like Viagra to enhance sexual performance. And today researchers are exploring technologies such as cell regeneration and implantable devices that interact directly with the brain. Some condemn these developments as a new kind of cheating—not just in sports but in life itself—promising rewards without effort and depriving us most of all of what it means to be authentic human beings. “Transhumanists,” on the other hand, reject what they see as a rationalizing of human limits, as if being human means being content forever with underachieving bodies and brains. To be human, they insist, is to be restless with possibilities, always eager to transcend biological limits. As the debate grows in urgency, how should theology respond? Christian theologians recognize truth on both sides of the argument, pointing out how the yearnings of the transhumanists—if not their technological methods—find deep affinities in Christian belief. In this volume, Ronald Cole-Turner has joined seasoned scholars and younger, emerging voices together to bring fresh insight into the technologies that are already reshaping the future of Christian life and hope.","2011-09-29","2019-01-01 20:50:07","2019-01-17 18:44:50","","","229","","","","","Transhumanism and Transcendence","","","","","Georgetown University Press","","en","","","","","Google Books","","Google-Books-ID: b2OQ5nefgOMC","","","https://books.google.co.uk/books?id=b2OQ5nefgOMC","Technology","Religion / Christian Theology / Ethics; Medical / Ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5MB8E28W","book","2016","Thweatt-Bates, Jeanine","Cyborg Selves: A Theological Anthropology of the Posthuman","","978-1-317-15517-1","","","","What is the 'posthuman'? Is becoming posthuman inevitable-something which will happen to us, or something we will do to ourselves? Why do some long for it, while others fearfully reject it? These questions underscore the fact that the posthuman is a name for the unknown future, and therefore, not a single idea but a jumble of competing visions - some of which may be exciting, some of which may be frightening, and which is which depends on who you are, and what you desire to be. This book aims to clarify current theological and philosophical dialogue on the posthuman by arguing that theologians must pay attention to which form of the posthuman they are engaging, and to demonstrate that a 'posthuman theology' is not only possible, but desirable, when the vision of the posthuman is one which coincides with a theological vision of the human.","2016-05-13","2019-01-01 20:50:43","2019-01-17 18:44:50","","","225","","","","","Cyborg Selves","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: wBEpDAAAQBAJ","","","https://books.google.co.uk/books?id=wBEpDAAAQBAJ","Technology","Religion / Religion & Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UNNXSGC","book","2014","Burdett, Michael S.","Eschatology and the Technological Future","","978-1-317-57664-8","","","","The rapid advancement of technology has led to an explosion of speculative theories about what the future of humankind may look like. These ""technological futurisms"" have arisen from significant advances in the fields of nanotechnology, biotechnology and information technology and are drawing growing scrutiny from the philosophical and theological communities. This text seeks to contextualize the growing literature on the cultural, philosophical and religious implications of technological growth by considering technological futurisms such as transhumanism in the context of the long historical tradition of technological dreaming. Michael Burdett traces the latent religious sources of our contemporary technological imagination by looking at visionary approaches to technology and the future in seminal technological utopias and science fiction and draws on past theological responses to the technological future with Pierre Teilhard de Chardin and Jacques Ellul. Burdett’s argument arrives at a contemporary Christian response to transhumanism based around the themes of possibility and promise by turning to the works of Richard Kearney, Eberhard Jüngel and Jürgen Moltmann. Throughout, the author highlights points of correspondence and divergence between technological futurisms and the Judeo-Christian understanding of the future.","2014-12-05","2019-01-01 20:51:09","2019-01-17 18:44:50","","","362","","","","","","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: ZU62BQAAQBAJ","","","https://books.google.co.uk/books?id=ZU62BQAAQBAJ","Technology","Religion / Christian Theology / Eschatology; Religion / Eschatology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQQAKE88","book","2016","Waters, Brent","Christian Moral Theology in the Emerging Technoculture: From Posthuman Back to Human","","978-1-317-16672-6","","","","We are living in an emerging technoculture. Machines and gadgets not only weave the fabric of daily life, but more importantly embody philosophical and religious values which shape the contemporary moral vision-a vision that is often at odds with Christian convictions. This book critically examines those values, and offers a framework for how Christian moral theology should be formed and lived-out within the emerging technoculture. Brent Waters argues that technology represents the principal cultural background against which contemporary Christian moral life is formed. Addressing contemporary ethical and religious issues, this book will be of particular interest to students and scholars exploring the ideas of Heidegger, Nietzsche, Grant, Arendt, and Borgmann.","2016-05-23","2019-01-01 20:51:34","2019-01-17 18:44:50","","","271","","","","","Christian Moral Theology in the Emerging Technoculture","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: PmY3DAAAQBAJ","","","https://books.google.co.uk/books?id=PmY3DAAAQBAJ","Technology","Religion / Christianity / General; Religion / Ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
